"TimeInstant","position","presenceStatus:parking","type","id","latitude","longitude"
"2015-12-28T08:49:34.000Z","43.463083899,-3.801594079","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3630","43.463083899","-3.801594079"
"2015-12-26T13:44:48.000Z","43.463077572,-3.801645711","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3629","43.463077572","-3.801645711"
"2015-12-28T08:36:40.000Z","43.463072218,-3.801704049","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3628","43.463072218","-3.801704049"
"2015-12-27T22:27:33.000Z","43.463064918,-3.801763058","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3627","43.463064918","-3.801763058"
"2015-12-28T07:39:20.000Z","43.463061511,-3.801823407","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3626","43.463061511","-3.801823407"
"2015-12-08T09:55:15.000Z","43.463054697,-3.801886439","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3625","43.463054697","-3.801886439"
"2015-12-28T05:43:39.000Z","43.463048857,-3.801953495","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3624","43.463048857","-3.801953495"
"2015-12-28T08:25:28.000Z","43.463042530,-3.802011833","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3623","43.463042530","-3.802011833"
"2015-12-28T07:09:10.000Z","43.463036203,-3.802059442","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3622","43.463036203","-3.802059442"
"2015-12-28T07:38:22.000Z","43.463029876,-3.802122474","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3621","43.463029876","-3.802122474"
"2015-12-27T21:30:42.000Z","43.463023548,-3.802177459","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3620","43.463023548","-3.802177459"
"2015-12-28T07:38:32.000Z","43.463017708,-3.802238479","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3619","43.463017708","-3.802238479"
"2015-12-09T06:44:55.000Z","43.463010408,-3.802311569","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3618","43.463010408","-3.802311569"
"2015-12-25T17:26:52.000Z","43.463007001,-3.802369237","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3617","43.463007001","-3.802369237"
"2015-12-25T17:28:06.000Z","43.463002134,-3.802423552","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3616","43.463002134","-3.802423552"
"2015-12-28T07:43:40.000Z","43.462925235,-3.803205416","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3615","43.462925235","-3.803205416"
"2015-12-28T05:36:59.000Z","43.462917935,-3.803268448","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3614","43.462917935","-3.803268448"
"2015-12-28T08:20:36.000Z","43.462913068,-3.803329468","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3613","43.462913068","-3.803329468"
"2015-12-28T08:17:54.000Z","43.462907227,-3.803390488","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3612","43.462907227","-3.803390488"
"2015-12-28T08:20:28.000Z","43.462899440,-3.803448156","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3611","43.462899440","-3.803448156"
