X,Y,TimeInstan,position,presenceSt,type,id,latitude,longitude,sensor_id
-3.801594079,43.463083899,2015-12-28T08:49:34.000Z,"43.463083899,-3.801594079",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3630,43.463083898999997,-3.801594079000000,daoiz_velarde_13_15
-3.801645711,43.463077572,2015-12-26T13:44:48.000Z,"43.463077572,-3.801645711",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3629,43.463077572000003,-3.801645711000000,daoiz_velarde_13_15
-3.801704049,43.463072218,2015-12-28T08:36:40.000Z,"43.463072218,-3.801704049",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3628,43.463072218000001,-3.801704049000000,daoiz_velarde_13_15
-3.801763058,43.463064918,2015-12-27T22:27:33.000Z,"43.463064918,-3.801763058",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3627,43.463064918000001,-3.801763058000000,daoiz_velarde_13
-3.801823407,43.463061511,2015-12-28T07:39:20.000Z,"43.463061511,-3.801823407",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3626,43.463061510999999,-3.801823407000000,daoiz_velarde_13
-3.801886439,43.463054697,2015-12-08T09:55:15.000Z,"43.463054697,-3.801886439",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3625,43.463054696999997,-3.801886439000000,daoiz_velarde_13
-3.801953495,43.463048857,2015-12-28T05:43:39.000Z,"43.463048857,-3.801953495",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3624,43.463048856999997,-3.801953495000000,daoiz_velarde_13
-3.802011833,43.46304253,2015-12-28T08:25:28.000Z,"43.463042530,-3.802011833",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3623,43.463042530000003,-3.802011833000000,daoiz_velarde_13
-3.802059442,43.463036203,2015-12-28T07:09:10.000Z,"43.463036203,-3.802059442",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3622,43.463036203000001,-3.802059442000000,daoiz_velarde_13
-3.802122474,43.463029876,2015-12-28T07:38:22.000Z,"43.463029876,-3.802122474",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3621,43.463029876000000,-3.802122474000000,daoiz_velarde_11
-3.802177459,43.463023548,2015-12-27T21:30:42.000Z,"43.463023548,-3.802177459",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3620,43.463023548000002,-3.802177459000000,daoiz_velarde_11
-3.802238479,43.463017708,2015-12-28T07:38:32.000Z,"43.463017708,-3.802238479",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3619,43.463017708000002,-3.802238479000000,daoiz_velarde_11
-3.802311569,43.463010408,2015-12-09T06:44:55.000Z,"43.463010408,-3.802311569",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3618,43.463010408000002,-3.802311569000000,daoiz_velarde_11
-3.802369237,43.463007001,2015-12-25T17:26:52.000Z,"43.463007001,-3.802369237",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3617,43.463007001000001,-3.802369237000000,daoiz_velarde_11
-3.802423552,43.463002134,2015-12-25T17:28:06.000Z,"43.463002134,-3.802423552",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3616,43.463002134000000,-3.802423552000000,daoiz_velarde_11
-3.803205416,43.462925235,2015-12-28T07:43:40.000Z,"43.462925235,-3.803205416",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3615,43.462925235000000,-3.803205416000000,daoiz_velarde_1_5
-3.803268448,43.462917935,2015-12-28T05:36:59.000Z,"43.462917935,-3.803268448",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3614,43.462917935000000,-3.803268448000000,daoiz_velarde_1_5
-3.803329468,43.462913068,2015-12-28T08:20:36.000Z,"43.462913068,-3.803329468",true,urn:smartsantander:entityType:parkingSensor,urn:x-iot:smartsantander:u7jcfa:fixed:np3613,43.462913067999999,-3.803329468000000,daoiz_velarde_1_5
