X,Y,ID,NOMBRE,MUNICIPIO,PROVINCIA,ALTURA,LATITUD,LONGITUD
-7.684722222222222,43.786111111111111,1351,Estaca de Bares,Mañón,A Coruña,80,43 47 10,-07 41 05
-7.861388888888889,43.446111111111108,1363X,As Pontes,"Pontes de García Rodríguez, As",A Coruña,343,43 26 46,-07 51 41
-8.421388888888888,43.365833333333335,1387,A Coruña,"Coruña, A",A Coruña,58,43 21 57,-08 25 17
-8.372222222222222,43.306944444444447,1387E,A Coruña Aeropuerto,Culleredo,A Coruña,98,43 18 25,-08 22 20
-8.710833333333333,43.203611111111108,1390X,"Carballo, Depuradora",Carballo,A Coruña,98,43 12 13,-08 42 39
-9.210833333333333,43.160555555555554,1393,Cabo Vilan,Camariñas,A Coruña,50,43 09 38,-09 12 39
-9.046944444444444,43.0575,1399,Vimianzo,Vimianzo,A Coruña,287,43 03 27,-09 02 49
-9.291388888888889,42.924722222222222,1400,Fisterra,Fisterra,A Coruña,230,42 55 29,-09 17 29
-8.993611111111111,42.935277777777777,1406X,Mazaricos,Mazaricos,A Coruña,340,42 56 07,-08 59 37
-8.022222222222222,43.037777777777777,1410X,Sobrado,Sobrado,A Coruña,500,43 02 16,-08 01 20
-8.410833333333333,42.887777777777778,1428,Santiago de Compostela Aeropuerto,"Pino, O",A Coruña,370,42 53 16,-08 24 39
-8.876111111111111,42.800277777777779,1435C,Noia,Noia,A Coruña,128,42 48 01,-08 52 34
-8.892222222222221,42.643888888888888,1442U,Boiro,Boiro,A Coruña,10,42 38 38,-08 53 32
-8.627222222222223,42.73833333333333,1473A,Padrón,Padrón,A Coruña,100,42 44 18,-08 37 38
-8.555833333333334,42.876111111111108,1475X,Santiago de Compostela,Santiago de Compostela,A Coruña,240,42 52 34,-08 33 21
-8.714722222222223,42.749722222222225,1476R,"Rois, Casas do Porto",Rois,A Coruña,210,42 44 59,-08 42 53
-2.745,38.965833333333336,4007Y,Ossa de Montiel,Ossa de Montiel,Albacete,905,38 57 57,-02 44 42
-2.5925,39.261944444444445,4091Y,Villarrobledo,Villarrobledo,Albacete,718,39 15 43,-02 35 33
-2.488888888888889,39.016666666666666,4096Y,Munera,Munera,Albacete,918,39 01 00,-02 29 20
-2.218888888888889,38.393055555555556,7066Y,"Yeste, Embalse Fuensanta",Yeste,Albacete,680,38 23 35,-02 13 08
-2.293888888888889,38.295,7072Y,Yeste,Yeste,Albacete,960,38 17 42,-02 17 38
-1.703055555555556,38.541944444444447,7096B,Hellín,Hellín,Albacete,605,38 32 31,-01 42 11
